Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,# of Deaths/Readmissions,# of Cases,Hospital Ratings,Location 1
2011-2012,Alameda,Valleycare Medical Center,106014050,30-day Mortality,9.36,10,119,As Expected,"(37.69206, -121.88095)"
2011-2012,Amador,Sutter Amador Hospital,106034002,30-day Readmission,5.43,5,100,As Expected,"(38.34743, -120.77272)"
2011-2012,Amador,Sutter Amador Hospital,106034002,30-day Mortality,11.34,14,105,As Expected,"(38.34743, -120.77272)"
2011-2012,Butte,Feather River Hospital,106040875,30-day Readmission,9.72,12,137,As Expected,"(39.75641, -121.57218)"
2011-2012,Butte,Feather River Hospital,106040875,30-day Mortality,7.11,12,139,As Expected,"(39.75641, -121.57218)"
2011-2012,Butte,Oroville Hospital,106040937,30-day Readmission,15.3,24,174,As Expected,"(39.50485, -121.5428)"
2011-2012,Butte,Oroville Hospital,106040937,30-day Mortality,8.13,10,176,As Expected,"(39.50485, -121.5428)"
2011-2012,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Mortality,8.03,41,435,As Expected,"(39.74224, -121.84922)"
2011-2012,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Readmission,9.88,36,411,As Expected,"(39.74224, -121.84922)"
2011-2012,Calaveras,Mark Twain Saint Joseph’s Hospital,106050932,30-day Readmission,15.31,7,51,As Expected,"(38.19021, -120.67105)"
2011-2012,Calaveras,Mark Twain Saint Joseph’s Hospital,106050932,30-day Mortality,12.82,9,56,As Expected,"(38.19021, -120.67105)"
2011-2012,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Readmission,12.93,34,238,As Expected,"(37.95279, -122.33866)"
2011-2012,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Mortality,10.43,27,251,As Expected,"(37.95279, -122.33866)"
2011-2012,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Readmission,12.39,12,105,As Expected,"(38.00646, -122.13101)"
2011-2012,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Mortality,13.94,7,111,As Expected,"(38.00646, -122.13101)"
2011-2012,Contra Costa,Sutter Delta Medical Center,106070934,30-day Readmission,13.93,27,172,As Expected,"(37.98222, -121.8054)"
2011-2012,Contra Costa,Sutter Delta Medical Center,106070934,30-day Mortality,7.73,17,180,As Expected,"(37.98222, -121.8054)"
2011-2012,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Readmission,10.67,37,368,As Expected,"(37.91434, -122.04183)"
2011-2012,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Mortality,8.69,55,408,As Expected,"(37.91434, -122.04183)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Readmission,11.01,39,324,As Expected,"(37.8923, -122.05828)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Mortality,9.16,45,344,As Expected,"(37.8923, -122.05828)"
2011-2012,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Readmission,13.57,42,282,As Expected,"(37.98615, -122.03874)"
2011-2012,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Mortality,9.33,32,300,As Expected,"(37.98615, -122.03874)"
2011-2012,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission,12.11,13,114,As Expected,"(37.77713, -121.96076)"
2011-2012,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Mortality,9.55,12,123,As Expected,"(37.77713, -121.96076)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Readmission,8.79,19,197,As Expected,"(37.951975, -121.776854)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Mortality,10.25,28,208,As Expected,"(37.951975, -121.776854)"
2011-2012,Del Norte,Sutter Coast Hospital,106084001,30-day Readmission,10.62,8,83,As Expected,"(41.77278, -124.19514)"
2011-2012,Del Norte,Sutter Coast Hospital,106084001,30-day Mortality,6.39,6,87,As Expected,"(41.77278, -124.19514)"
2011-2012,El Dorado,Barton Memorial Hospital,106090793,30-day Readmission,6.09,2,36,As Expected,"(38.91224, -119.99784)"
2011-2012,El Dorado,Barton Memorial Hospital,106090793,30-day Mortality,14.26,5,39,As Expected,"(38.91224, -119.99784)"
2011-2012,El Dorado,Marshall Medical Center,106090933,30-day Readmission,9.36,15,160,As Expected,"(38.72557326, -120.7909638)"
2011-2012,El Dorado,Marshall Medical Center,106090933,30-day Mortality,11.5,31,177,As Expected,"(38.72557326, -120.7909638)"
2011-2012,Fresno,Clovis Community Medical Center,106100005,30-day Readmission,12.61,20,166,As Expected,"(36.83745, -119.66072)"
2011-2012,Fresno,Clovis Community Medical Center,106100005,30-day Mortality,10.29,13,169,As Expected,"(36.83745, -119.66072)"
2011-2012,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Readmission,14.26,94,639,As Expected,"(36.74253, -119.78324)"
2011-2012,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Mortality,12.48,62,677,As Expected,"(36.74253, -119.78324)"
2011-2012,Fresno,Saint Agnes Medical Center,106100899,30-day Readmission,13.74,104,749,As Expected,"(36.8370782, -119.7649963)"
2011-2012,Fresno,Saint Agnes Medical Center,106100899,30-day Mortality,12.6,101,793,As Expected,"(36.8370782, -119.7649963)"
2011-2012,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Mortality,12.29,42,319,As Expected,"(36.84246, -119.7832)"
2011-2012,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Readmission,11.08,36,300,As Expected,"(36.84246, -119.7832)"
2011-2012,Humboldt,Mad River Community Hospital,106121002,30-day Readmission,22.39,9,51,As Expected,"(40.90351, -124.09038)"
2011-2012,Humboldt,Mad River Community Hospital,106121002,30-day Mortality,17.79,8,51,As Expected,"(40.90351, -124.09038)"
2011-2012,Humboldt,Redwood Memorial Hospital,106121051,30-day Readmission,11.56,4,37,As Expected,"(40.58267, -124.13549)"
2011-2012,Humboldt,Redwood Memorial Hospital,106121051,30-day Mortality,15.82,10,41,As Expected,"(40.58267, -124.13549)"
2011-2012,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Readmission,8.56,15,173,As Expected,"(40.7832, -124.14216)"
2011-2012,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Mortality,12.74,29,192,As Expected,"(40.7832, -124.14216)"
2011-2012,Imperial,El Centro Regional Medical Center,106130699,30-day Readmission,14.43,29,191,As Expected,"(32.78138, -115.49824)"
2011-2012,Imperial,El Centro Regional Medical Center,106130699,30-day Mortality,12.92,23,204,As Expected,"(32.78138, -115.49824)"
2011-2012,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Readmission,12.45,17,147,As Expected,"(32.96003, -115.55183)"
2011-2012,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Mortality,7.13,8,152,As Expected,"(32.96003, -115.55183)"
2011-2012,Kern,Delano Regional Medical Center,106150706,30-day Readmission,19.71,6,30,As Expected,"(35.76143, -119.23706)"
2011-2012,Kern,Delano Regional Medical Center,106150706,30-day Mortality,16.07,6,34,As Expected,"(35.76143, -119.23706)"
2011-2012,Kern,Bakersfield Memorial Hospital,106150722,30-day Readmission,12.29,36,282,As Expected,"(35.39051, -119.00658)"
2011-2012,Kern,Bakersfield Memorial Hospital,106150722,30-day Mortality,14.09,34,298,As Expected,"(35.39051, -119.00658)"
2011-2012,Kern,Kern Medical Center,106150736,30-day Readmission,6.76,3,51,As Expected,"(35.380833, -118.967222)"
2011-2012,Kern,Kern Medical Center,106150736,30-day Mortality,10.42,1,51,As Expected,"(35.380833, -118.967222)"
2011-2012,Kern,Mercy Hospital – Bakersfield,106150761,30-day Readmission,16.03,25,166,As Expected,"(35.37323, -119.02715)"
2011-2012,Kern,Mercy Hospital – Bakersfield,106150761,30-day Mortality,15.48,27,180,As Expected,"(35.37323, -119.02715)"
2011-2012,Kern,Ridgecrest Regional Hospital,106150782,30-day Readmission,7.19,2,32,As Expected,"(35.6404, -117.66996)"
2011-2012,Kern,Ridgecrest Regional Hospital,106150782,30-day Mortality,24.57,9,36,Worse,"(35.6404, -117.66996)"
2011-2012,Kern,San Joaquin Community Hospital,106150788,30-day Readmission,13.32,81,643,As Expected,"(35.383064, -119.018775)"
2011-2012,Kern,San Joaquin Community Hospital,106150788,30-day Mortality,14.77,76,672,Worse,"(35.383064, -119.018775)"
2011-2012,Kern,Bakersfield Heart Hospital,106154101,30-day Readmission,10.79,10,97,As Expected,"(35.38619, -119.04314)"
2011-2012,Kern,Bakersfield Heart Hospital,106154101,30-day Mortality,5.3,4,100,As Expected,"(35.38619, -119.04314)"
2011-2012,Kings,Adventist Medical Center,106164029,30-day Readmission,13.27,28,198,As Expected,"(36.3256247, -119.6683912)"
2011-2012,Kings,Adventist Medical Center,106164029,30-day Mortality,11.07,24,216,As Expected,"(36.3256247, -119.6683912)"
2011-2012,Lake,Sutter Lakeside Hospital,106171395,30-day Readmission,3.27,2,56,Better,"(39.10232, -122.91003)"
2011-2012,Lake,Sutter Lakeside Hospital,106171395,30-day Mortality,12.24,10,57,As Expected,"(39.10232, -122.91003)"
2011-2012,Los Angeles,Alhambra Hospital,106190017,30-day Readmission,10.4,12,96,As Expected,"(34.08988, -118.1449)"
2011-2012,Los Angeles,Alhambra Hospital,106190017,30-day Mortality,4.63,5,100,As Expected,"(34.08988, -118.1449)"
2011-2012,Los Angeles,Antelope Valley Hospital,106190034,30-day Readmission,14.61,61,414,As Expected,"(34.68928, -118.15767)"
2011-2012,Los Angeles,Antelope Valley Hospital,106190034,30-day Mortality,12.32,41,431,As Expected,"(34.68928, -118.15767)"
2011-2012,Los Angeles,Saint Mary Medical Center,106190053,30-day Readmission,11.55,26,189,As Expected,"(33.7802376, -118.1866412)"
2011-2012,Los Angeles,Saint Mary Medical Center,106190053,30-day Mortality,10.12,18,198,As Expected,"(33.7802376, -118.1866412)"
2011-2012,Los Angeles,Beverly Hospital,106190081,30-day Mortality,13.65,19,159,As Expected,"(34.01614, -118.10132)"
2011-2012,Los Angeles,Beverly Hospital,106190081,30-day Readmission,12.6,20,146,As Expected,"(34.01614, -118.10132)"
2011-2012,Los Angeles,Brotman Medical Center,106190110,30-day Readmission,18.84,30,136,As Expected,"(34.02328, -118.39724)"
2011-2012,Los Angeles,Brotman Medical Center,106190110,30-day Mortality,7.07,8,142,As Expected,"(34.02328, -118.39724)"
2011-2012,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Readmission,14.06,27,182,As Expected,"(34.03721, -118.26551)"
2011-2012,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Mortality,7.91,9,188,As Expected,"(34.03721, -118.26551)"
2011-2012,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Readmission,16.59,102,488,Worse,"(33.94917, -118.34788)"
2011-2012,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Mortality,7.28,20,503,As Expected,"(33.94917, -118.34788)"
2011-2012,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Readmission,8.43,4,49,As Expected,"(33.98929, -118.22466)"
2011-2012,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Mortality,0,0,49,As Expected,"(33.98929, -118.22466)"
2011-2012,Los Angeles,Los Angeles Community Hospital,106190198,30-day Readmission,18.38,14,57,As Expected,"(34.01897, -118.1875)"
2011-2012,Los Angeles,Los Angeles Community Hospital,106190198,30-day Mortality,3.37,2,59,As Expected,"(34.01897, -118.1875)"
2011-2012,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Readmission,14.67,24,155,As Expected,"(34.1024, -118.10503)"
2011-2012,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Mortality,6,11,160,As Expected,"(34.1024, -118.10503)"
2011-2012,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Readmission,15.09,49,307,As Expected,"(33.86016, -118.14837)"
2011-2012,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Mortality,11.46,30,323,As Expected,"(33.86016, -118.14837)"
2011-2012,Los Angeles,Downey Regional Medical Center,106190243,30-day Readmission,15.11,39,244,As Expected,"(33.93515, -118.13196)"
2011-2012,Los Angeles,Downey Regional Medical Center,106190243,30-day Mortality,10.68,26,255,As Expected,"(33.93515, -118.13196)"
2011-2012,Los Angeles,East Los Angeles Doctors Hospital,106190256,30-day Mortality,0,0,38,As Expected,"(34.02383, -118.18377)"
2011-2012,Los Angeles,East Los Angeles Doctors Hospital,106190256,30-day Readmission,8.81,4,38,As Expected,"(34.02383, -118.18377)"
2011-2012,Los Angeles,Encino Hospital Medical Center,106190280,30-day Readmission,16.22,8,38,As Expected,"(34.15686, -118.48662)"
2011-2012,Los Angeles,Encino Hospital Medical Center,106190280,30-day Mortality,2.67,2,39,Better,"(34.15686, -118.48662)"
2011-2012,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Mortality,12.11,15,128,As Expected,"(34.13384, -117.87244)"
2011-2012,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Readmission,17.2,20,123,As Expected,"(34.13384, -117.87244)"
2011-2012,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Mortality,2.6,2,88,Better,"(34.06464, -118.23905)"
2011-2012,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Readmission,12.35,13,88,As Expected,"(34.06464, -118.23905)"
2011-2012,Los Angeles,Garfield Medical Center,106190315,30-day Readmission,15.64,54,304,As Expected,"(34.06826, -118.12302)"
2011-2012,Los Angeles,Garfield Medical Center,106190315,30-day Mortality,4.35,14,315,Better,"(34.06826, -118.12302)"
2011-2012,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Readmission,14.17,51,330,As Expected,"(34.14951, -118.23109)"
2011-2012,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Mortality,10.03,48,359,As Expected,"(34.14951, -118.23109)"
2012-2013,San Diego,Alvarado Hospital,106370652,30-day Mortality,9.76,19,149,As Expected,"(32.77708, -117.05683)"
2011-2012,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Readmission,24.27,12,42,As Expected,"(34.04827, -118.04257)"
2011-2012,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Mortality,4.84,2,43,As Expected,"(34.04827, -118.04257)"
2011-2012,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission,20.08,54,247,Worse,"(34.09557, -118.29163)"
2011-2012,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Mortality,8.42,22,256,As Expected,"(34.09557, -118.29163)"
2011-2012,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Readmission,12.17,46,352,As Expected,"(34.2791, -118.45951)"
2011-2012,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Mortality,9.31,34,371,As Expected,"(34.2791, -118.45951)"
2011-2012,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Readmission,14.69,30,191,As Expected,"(34.05324, -118.26522)"
2011-2012,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Mortality,8.44,14,202,As Expected,"(34.05324, -118.26522)"
2011-2012,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission,11.42,58,503,As Expected,"(34.13565, -118.1518)"
2011-2012,Los Angeles,Huntington Memorial Hospital,106190400,30-day Mortality,10.23,56,514,As Expected,"(34.13565, -118.1518)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Readmission,15.1,26,174,As Expected,"(34.08993, -117.89264)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Mortality,7.48,13,177,As Expected,"(34.08993, -117.89264)"
2011-2012,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Readmission,12.09,68,571,As Expected,"(33.81258, -118.34388)"
2011-2012,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Mortality,9.38,61,596,As Expected,"(33.81258, -118.34388)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Readmission,10.75,45,418,As Expected,"(34.09823, -118.29545)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Mortality,10.64,33,443,As Expected,"(34.09823, -118.29545)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Readmission,15.98,46,256,As Expected,"(33.789, -118.29415)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Mortality,12.79,26,268,As Expected,"(33.789, -118.29415)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Readmission,13.5,35,260,As Expected,"(34.21975, -118.43009)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Mortality,13.04,30,269,As Expected,"(34.21975, -118.43009)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Readmission,15.19,52,309,As Expected,"(34.03793, -118.37568)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Mortality,12.56,26,319,As Expected,"(34.03793, -118.37568)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Readmission,13.39,68,519,As Expected,"(33.83767, -118.35708)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Mortality,11.7,59,550,As Expected,"(33.83767, -118.35708)"
2011-2012,Los Angeles,Community Hospital of Long Beach,106190475,30-day Readmission,14.29,8,58,As Expected,"(33.78871, -118.14578)"
2011-2012,Los Angeles,Community Hospital of Long Beach,106190475,30-day Mortality,13.63,11,64,As Expected,"(33.78871, -118.14578)"
2011-2012,Los Angeles,Marina Del Rey Hospital,106190500,30-day Readmission,14.07,14,93,As Expected,"(33.98125, -118.43971)"
2011-2012,Los Angeles,Marina Del Rey Hospital,106190500,30-day Mortality,6.44,6,93,As Expected,"(33.98125, -118.43971)"
2011-2012,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Readmission,11.88,35,296,As Expected,"(34.16985, -118.53136)"
2011-2012,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Mortality,6.68,25,310,Better,"(34.16985, -118.53136)"
2011-2012,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Readmission,11.45,14,103,As Expected,"(33.89246, -118.29493)"
2011-2012,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Mortality,6.77,4,108,As Expected,"(33.89246, -118.29493)"
2011-2012,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Readmission,18.17,36,201,As Expected,"(34.1284, -118.25769)"
2011-2012,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Mortality,9.56,17,210,As Expected,"(34.1284, -118.25769)"
2011-2012,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Readmission,14.42,8,43,As Expected,"(34.22138, -118.45639)"
2011-2012,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Mortality,6.14,3,45,As Expected,"(34.22138, -118.45639)"
2011-2012,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Readmission,17.48,103,611,Worse,"(33.80801, -118.1852)"
2011-2012,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Mortality,13.65,66,651,As Expected,"(33.80801, -118.1852)"
2011-2012,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Readmission,15.27,88,560,As Expected,"(34.13603, -118.03879)"
2011-2012,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Mortality,10.92,68,582,As Expected,"(34.13603, -118.03879)"
2011-2012,Los Angeles,Olympia Medical Center,106190534,30-day Readmission,16.23,19,99,As Expected,"(34.05754, -118.36008)"
2011-2012,Los Angeles,Olympia Medical Center,106190534,30-day Mortality,9.5,10,102,As Expected,"(34.05754, -118.36008)"
2011-2012,Los Angeles,Monterey Park Hospital,106190547,30-day Readmission,11.98,7,56,As Expected,"(34.05308, -118.13665)"
2011-2012,Los Angeles,Monterey Park Hospital,106190547,30-day Mortality,8.23,4,60,As Expected,"(34.05308, -118.13665)"
2011-2012,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Readmission,15.8,124,741,Worse,"(34.07681, -118.38061)"
2011-2012,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Mortality,6.11,56,773,Better,"(34.07681, -118.38061)"
2011-2012,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Readmission,11.58,38,337,As Expected,"(34.22075, -118.53186)"
2011-2012,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Mortality,9.08,39,353,As Expected,"(34.22075, -118.53186)"
2011-2012,Los Angeles,Pacific Hospital of Long Beach,106190587,30-day Readmission,15.71,9,44,As Expected,"(33.80759, -118.19355)"
2011-2012,Los Angeles,Pacific Hospital of Long Beach,106190587,30-day Mortality,11.65,5,45,As Expected,"(33.80759, -118.19355)"
2011-2012,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Readmission,13.36,73,556,As Expected,"(34.07852, -117.75234)"
2011-2012,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Mortality,9.23,54,580,As Expected,"(34.07852, -117.75234)"
2011-2012,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Readmission,13.07,72,517,As Expected,"(33.96775, -118.04671)"
2011-2012,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Mortality,9.89,63,538,As Expected,"(33.96775, -118.04671)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Readmission,12.32,27,223,As Expected,"(34.06242, -117.94528)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Mortality,11.33,22,234,As Expected,"(34.06242, -117.94528)"
2011-2012,Los Angeles,San Dimas Community Hospital,106190673,30-day Readmission,15.61,12,74,As Expected,"(34.09922, -117.83218)"
2011-2012,Los Angeles,San Dimas Community Hospital,106190673,30-day Mortality,12.54,11,78,As Expected,"(34.09922, -117.83218)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Readmission,18,31,179,As Expected,"(33.73798, -118.30557)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Mortality,12.99,29,189,As Expected,"(33.73798, -118.30557)"
2011-2012,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Readmission,17.64,32,193,As Expected,"(34.02755, -118.48623)"
2011-2012,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Mortality,6.48,16,199,Better,"(34.02755, -118.48623)"
2011-2012,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Readmission,24.98,8,31,As Expected,"(34.24088, -118.39555)"
2011-2012,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Mortality,5.01,2,33,As Expected,"(34.24088, -118.39555)"
2011-2012,Los Angeles,Sherman Oaks Hospital,106190708,30-day Readmission,12.33,9,64,As Expected,"(34.15995, -118.4488)"
2011-2012,Los Angeles,Sherman Oaks Hospital,106190708,30-day Mortality,8.36,9,66,As Expected,"(34.15995, -118.4488)"
2011-2012,Los Angeles,Saint Francis Medical Center,106190754,30-day Readmission,15.61,39,211,As Expected,"(33.93085, -118.20415)"
2011-2012,Los Angeles,Saint Francis Medical Center,106190754,30-day Mortality,7.36,15,223,As Expected,"(33.93085, -118.20415)"
2011-2012,Los Angeles,Saint John’s Health Center,106190756,30-day Readmission,12.45,20,160,As Expected,"(34.0298085, -118.478687)"
2011-2012,Los Angeles,Saint John’s Health Center,106190756,30-day Mortality,9.06,20,170,As Expected,"(34.0298085, -118.478687)"
2011-2012,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Mortality,9.77,69,588,As Expected,"(34.1559, -118.32711)"
2011-2012,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Readmission,14.61,79,556,As Expected,"(34.1559, -118.32711)"
2011-2012,Los Angeles,Saint Vincent Medical Center,106190762,30-day Readmission,13.84,25,171,As Expected,"(34.06311, -118.27302)"
2011-2012,Los Angeles,Saint Vincent Medical Center,106190762,30-day Mortality,4.43,6,174,Better,"(34.06311, -118.27302)"
2011-2012,Los Angeles,Temple Community Hospital,106190784,30-day Readmission,19.21,12,51,As Expected,"(34.07534, -118.28366)"
2011-2012,Los Angeles,Temple Community Hospital,106190784,30-day Mortality,6.14,3,53,As Expected,"(34.07534, -118.28366)"
2011-2012,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Mortality,8.53,53,482,As Expected,"(34.068889, -118.445)"
